830,17,20,1,8264,2023/02/01
831,16,20,16,9865,2023/02/01
832,16,190,43,8701,2023/02/01
833,20,200,29,8794,2023/02/01
834,16,80,16,8392,2023/02/01
835,18,60,26,187,2023/02/01
836,14,80,16,5170,2023/02/01
837,12,90,15,9512,2023/02/01
838,8,200,15,5026,2023/02/01
839,20,60,10,3668,2023/02/01
840,8,90,28,137,2023/02/01
841,9,10,38,6559,2023/02/01
842,14,20,36,9099,2023/02/01
843,6,200,21,4118,2023/02/01
844,13,170,1,2533,2023/02/01
845,4,50,7,3839,2023/02/01
846,8,110,37,9113,2023/02/01
847,14,130,19,3216,2023/02/01
848,18,200,48,1314,2023/02/01
849,10,70,49,7695,2023/02/01
850,6,120,26,3350,2023/02/02
851,19,150,5,6369,2023/02/02
852,13,190,13,7922,2023/02/02
853,10,160,31,4226,2023/02/02
854,14,30,45,8503,2023/02/02
855,4,90,18,6390,2023/02/02
856,13,80,40,7808,2023/02/02
857,1,150,23,1106,2023/02/02
858,5,80,33,8877,2023/02/02
859,12,100,23,5784,2023/02/02
860,16,50,35,2303,2023/02/02
861,7,110,36,8899,2023/02/02
862,8,70,12,507,2023/02/02
863,20,110,46,4941,2023/02/02
864,7,20,5,1889,2023/02/02
865,8,50,1,8643,2023/02/02
866,11,120,44,4266,2023/02/02
867,10,140,20,5905,2023/02/02
868,17,180,20,974,2023/02/02
869,14,20,13,1420,2023/02/02
870,14,10,29,4891,2023/02/02
871,17,140,23,2789,2023/02/02
872,11,120,29,5741,2023/02/02
873,17,170,48,9851,2023/02/02
874,9,190,5,4603,2023/02/02
875,4,30,18,1700,2023/02/02
876,16,100,24,535,2023/02/02
877,20,10,8,9016,2023/02/02
878,6,60,7,1868,2023/02/03
879,5,100,32,757,2023/02/03
880,12,80,36,1949,2023/02/03
881,5,180,12,1854,2023/02/03
882,3,160,8,9705,2023/02/03
883,14,110,39,7136,2023/02/03
884,6,180,31,2765,2023/02/03
885,17,170,3,83,2023/02/03
886,5,90,23,2722,2023/02/03
887,1,200,35,2409,2023/02/03
888,8,40,29,3948,2023/02/03
889,11,160,47,6711,2023/02/03
890,10,130,33,9248,2023/02/03
891,5,10,12,7062,2023/02/03
892,1,110,35,4720,2023/02/03
893,3,190,7,7264,2023/02/03
894,3,60,6,2720,2023/02/03
895,3,10,40,7063,2023/02/03
896,15,110,11,3677,2023/02/03
897,7,150,29,9651,2023/02/03
898,2,50,9,738,2023/02/03
899,1,160,8,3651,2023/02/03
900,10,10,18,2684,2023/02/03
901,16,40,49,6544,2023/02/03
902,4,80,32,56,2023/02/03
903,2,30,26,6745,2023/02/03
904,12,50,19,9423,2023/02/03
905,6,130,12,7499,2023/02/03
906,2,90,27,7804,2023/02/03
907,9,20,3,5182,2023/02/03
908,12,40,43,9390,2023/02/03
909,17,150,4,1631,2023/02/03
910,17,120,9,5581,2023/02/04
911,8,10,45,98,2023/02/04
912,13,170,22,3167,2023/02/04
913,9,40,10,7044,2023/02/04
914,10,90,4,9233,2023/02/04
915,17,170,14,5066,2023/02/04
916,19,140,27,114,2023/02/04
917,12,180,48,6258,2023/02/04
918,7,30,10,6655,2023/02/04
919,10,50,48,1295,2023/02/04
920,17,60,42,473,2023/02/04
